Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
192,"AVENIDA RIO SAN JOAQUIN 6107 COLONIA POPO DELEGACION MIGUEL HIDALGO C.P. 11480 CIUDAD DE MÉXICO, -",AVENIDA RIO SAN JOAQUIN 6107 COLONIA POPO DELEGACION MIGUEL HIDALGO C.P. 11480 CIUDAD DE MÉXICO,COLONIA POPO,-,-
193,"San Gabriel las Palmas #8 Lomas de Ahuatlan Morelos 62130, -",San Gabriel las Palmas #8 Lomas de Ahuatlan Morelos 62130,LOMAS DE AHUATLAN MORELOS,-,-
194,"Amsterdam 99, Colonia Condesa, Cuauhtémoc, 06100, -","Amsterdam 99, Colonia Condesa, Cuauhtémoc, 06100",Condesa,-,-
195,"Blvd Manuel Avila Camacho 120 depto 204, Lomas de Chapultepec, 11000, CDMX, -","Blvd Manuel Avila Camacho 120 depto 204, Lomas de Chapultepec, 11000, CDMX",Lomas de Chapultepec,-,-
198,"norte 79 a numero 2323 claveria cdmx cp 02080, -",norte 79 a numero 2323 claveria cdmx cp 02080,CLAVERÍA,-,-
199,"Matias Romero # 121 colonia del valle 03100, cuidad de Mexico, -","Matias Romero # 121 colonia del valle 03100, cuidad de Mexico",Del Valle,-,-
200,"Retorno 10 doctor Nicolás León grupo 16 letra H colonia Jardín Balbuena cp 15900 delegación Venustiano Carranza, -",Retorno 10 doctor Nicolás León grupo 16 letra H colonia Jardín Balbuena cp 15900 delegación Venustiano Carranza,JARDIN BALBUENA,-,-
201,"Laguna 21, Ampliación Alpes, CDMX, 01710, -","Laguna 21, Ampliación Alpes, CDMX, 01710",AMPLIACIÓN ALPES,-,-
202,"Arquimides 97, Colonia Polanco, Miguel Hidalgo, CDMX, 11560, -","Arquimides 97, Colonia Polanco, Miguel Hidalgo, CDMX, 11560",POLANCO,-,-
203,"Azcapotzalco 349 ampliación Vicente Villada 57710, -",Azcapotzalco 349 ampliación Vicente Villada 57710,AMPLIACIÓN VICENTE VILLADA,-,-
204,"Xicalhuacan 59, Xicalhuacan, Sta Cruz A, Xochimilco, 16500, -","Xicalhuacan 59, Xicalhuacan, Sta Cruz A, Xochimilco, 16500",XICALHUACAN,-,-
205,"Azores 609 Portales CD.MX. 03300, -",Azores 609 Portales CD.MX. 03300,PORTALES,-,-
206,"Xocotitlan 6238, Col. Aragón Inguarán, Gustavo A. Madero, CDMX, 07820, -","Xocotitlan 6238, Col. Aragón Inguarán, Gustavo A. Madero, CDMX, 07820",INGUARÁN,-,-
208,"Avenida Toluca 387 departamento J204 colonia olivar de los padres cp 01780 colonia Álvaro Obregón, -",Avenida Toluca 387 departamento J204 colonia olivar de los padres cp 01780 colonia Álvaro Obregón,OLIVAR DE LOS PADRES,-,-
209,"Santa María la Ribera 10-6 Sta Ma la Ribera Cuauhtémoc 06400, -",Santa María la Ribera 10-6 Sta Ma la Ribera Cuauhtémoc 06400,SANTA MARIA DE LA RIBERA,-,-
210,"Marcelino davalos 44, col. Algarin, del. Cuauhtémoc, cdmx, cp. 06880, -","Marcelino davalos 44, col. Algarin, del. Cuauhtémoc, cdmx, cp. 06880",ALGARIN,-,-
211,"Av.canal de miramontes 3280,edificio 13, departamento 402, Colonia Ex Hacienda Coapa, CDMX, 14308,Tlalpan, -","Av.canal de miramontes 3280,edificio 13, departamento 402, Colonia Ex Hacienda Coapa, CDMX, 14308,Tlalpan",EX HACIENDA COAPA,-,-
212,"Amores 1437, colonia del valle, benito juarez, ciudad de mexico, 03100, -","Amores 1437, colonia del valle, benito juarez, ciudad de mexico, 03100",Del Valle,-,-
